FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
120727;2000;;;943,999
120727;2100;;;109,9
120727;2200;;;124,1
120727;2300;;;207,7
120728;0;;;265,1
120728;100;;;151,8
120728;200;;;203,1
120728;300;;;243,5
120728;400;;;24,29
120728;500;;;22,94
120728;600;;;19,56
120728;700;;;18,89
120728;800;;;24,29
120728;900;;;31,03
120728;1000;;;31,7
120728;1100;;;18,21
120728;1200;;;18,88
120728;1300;;;22,92
120728;1400;;;20,22
120728;1500;;;12,8
120728;1600;;;12,8
120728;1700;;;11,45
120728;1800;;;27,62
120728;1900;;;78,83
120728;2000;;;110,5
120728;2100;;;78,85
120728;2200;;;24,94
120728;2300;;;26,29
120729;0;;;18,2
120729;100;;;10,11
120729;200;;;14,83
120729;300;;;6,743
120729;400;;;5,395
120729;500;;;5,395
120729;600;;;8,09
120729;700;;;909,998
120729;800;;;7,419
120729;900;;;6,744
120729;1000;;;10,79
120729;1100;;;13,49
120729;1200;;;17,53
120729;1300;;;13,48
120729;1400;;;14,15
120729;1500;;;14,15
120729;1600;;;13,47
120729;1700;;;23,58
120729;1800;;;58,62
120729;1900;;;100,4
120729;2000;;;187,4
120729;2100;;;546,6
120729;2200;;;599,398
120729;2300;;;634,5
120730;0;;;27,65
120730;100;;;21,58
120730;200;;;15,51
120730;300;;;13,49
120730;400;;;12,14
120730;500;;;10,79
120730;600;;;12,82
120730;700;;;16,19
120730;800;;;20,24
120730;900;;;26,65
120730;1000;;;26,98
120730;1100;;;31,7
120730;1200;;;55,3
120730;1300;;;721,399
120730;1400;;;95,1
120730;1500;;;105,1
120730;1600;;;148,9
120730;1700;;;795,099
120730;1800;;;118,6
120730;1900;;;427,2
120730;2000;;;173,9
120730;2100;;;153
120730;2200;;;109,2
120730;2300;;;60
120731;0;;;57,98
120731;100;;;48,55
120731;200;;;29,67
120731;300;;;25,62
120731;400;;;24,27
120731;500;;;31,02
120731;600;;;31,69
120731;700;;;39,78
120731;800;;;41,81
120731;900;;;43,15
120731;1000;;;46,52
120731;1100;;;38,42
120731;1200;;;31,34
120731;1300;;;27,62
120731;1400;;;25,94
120731;1500;;;33
120731;1600;;;28,28
120731;1700;;;53,87
120731;1800;;;145,5
120731;1900;;;180,5
120731;2000;;;267,5
120731;2100;;;193,4
120731;2200;;;97
120731;2300;;;89
120801;0;;;761,598
120801;100;;;28,98
120801;200;;;26,96
120801;300;;;31,68
120801;400;;;31
120801;500;;;22,24
120801;600;;;24,26
